Optimization Score,Campaign Name
76.7%,VLA - New Vehicles
81%,Website Traffic Campaign PMAX
83.9%,VLA - Used Sedans & Fuel Efficient
84.4%,VLA - Used Deals & Specialties
85.1%,VLA - PMax - Trucks & SUVs
