Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
Website Traffic Campaign PMAX,$547.33,$0.00,413,0,592,0
VLA - New Vehicles,$296.65,$0.00,288,0,395,0
VLA - PMax - Trucks & SUVs,$222.55,$0.00,311,0,329,0
VLA - Used Deals & Specialties,$119.64,$0.00,155,0,171,0
VLA - Used Sedans & Fuel Efficient,$97.82,$0.00,129,0,150,0
