Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
Website Traffic Campaign PMAX,,Enabled,$547.33,413,3.00%
VLA - New Vehicles,,Enabled,$296.65,288,1.51%
VLA - PMax - Trucks & SUVs,,Enabled,$222.55,311,0.96%
VLA - Used Deals & Specialties,,Enabled,$119.64,155,1.25%
VLA - Used Sedans & Fuel Efficient,,Enabled,$97.82,129,1.02%
