Start Hour,Impressions
12 AM,"1,837"
1 AM,"1,218"
2 AM,877
3 AM,679
4 AM,487
5 AM,971
6 AM,"1,437"
7 AM,"2,167"
8 AM,"3,414"
9 AM,"4,637"
10 AM,"5,128"
11 AM,"5,893"
12 PM,"5,299"
1 PM,"5,766"
2 PM,"5,299"
3 PM,"5,450"
4 PM,"5,495"
5 PM,"5,841"
6 PM,"5,876"
7 PM,"4,817"
8 PM,"5,136"
9 PM,"5,258"
10 PM,"4,381"
11 PM,"3,007"
